rank,mod_type,fll_bw,costas_bw,sym_bw,preamble_size,avg_ber,min_ber,avg_pdr,max_noise_tolerance,composite_score,tested_scenarios
293,BPSK,0.0628,0.105,0.013,32,0.0,0.0,80.0,0.0,1798.4,1
294,QPSK,0.0628,0.055,0.137,32,0.0,0.0,80.0,0.0,1798.4,1
295,BPSK,0.0314,0.105,0.013,32,0.0,0.0,80.0,0.0,1798.4,1
296,QPSK,0.05,0.085,0.075,32,0.0,0.0,80.0,0.0,1798.4,1
297,BPSK,0.05,0.025,0.047,32,0.0,0.0,80.0,0.0,1798.4,1
298,QPSK,0.0314,0.12,0.043,32,0.0,0.0,80.0,0.0,1798.4,1
299,BPSK,0.02,0.1,0.021,32,0.0,0.0,80.0,0.0,1798.4,1
300,QPSK,0.0628,0.045,0.131,32,0.0,0.0,80.0,0.0,1798.4,1
301,BPSK,0.02,0.07,0.025,32,0.0,0.0,80.0,0.0,1798.4,1
302,BPSK,0.02,0.12,0.055,32,0.0,0.0,80.0,0.0,1798.4,1
303,QPSK,0.02,0.12,0.037,32,0.0,0.0,80.0,0.0,1798.4,1
