Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
QPSK,0.0314,0.0628,0.025,24,0.05,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.06077098846435547
QPSK,0.0314,0.0628,0.025,64,0.05,0.005,0.9995,90.0,0.0025000000000000005,9,10,0.07197451591491699
BPSK,0.0314,0.2134,0.1874,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.0711221694946289
QPSK,0.0314,0.1353,0.1874,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06302618980407715
QPSK,0.0314,0.1613,0.3176,32,0.15,0.0,1.0,80.0,0.005000000000000001,8,10,0.06276226043701172
BPSK,0.0314,0.0628,0.08,24,0.5,0.005,0.9995,50.0,0.0125,5,10,0.058354854583740234
BPSK,0.0314,0.005,0.0311,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.048822879791259766
QPSK,0.0314,0.4218,0.1613,32,0.0,0.0,1.0,90.0,0.0,9,10,0.06844186782836914
QPSK,0.0314,0.5,0.4479,32,0.15,0.0,1.0,0.0,0.025,0,10,0.06558656692504883
QPSK,0.0314,0.4218,0.4479,32,0.15,0.0,1.0,0.0,0.025,0,10,0.06331610679626465
QPSK,0.0314,0.1874,0.0571,32,0.0,0.0,1.0,90.0,0.0,9,10,0.06349825859069824
QPSK,0.0314,0.0832,0.1874,32,0.0,0.0,1.0,90.0,0.0,9,10,0.08479166030883789
QPSK,0.0314,0.4218,0.005,32,0.15,0.0,1.0,80.0,0.005000000000000001,8,10,0.05802798271179199
BPSK,0.0314,0.3437,0.2655,32,0.15,0.0,1.0,80.0,0.005000000000000001,8,10,0.0691230297088623
BPSK,0.0314,0.0628,0.08,16,0.1,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.07532906532287598
BPSK,0.0314,0.4739,0.3958,32,0.15,0.0,1.0,0.0,0.025,0,10,0.07177972793579102
QPSK,0.0314,0.0628,0.08,24,0.1,0.005,1.0005,90.0,0.0025000000000000005,9,10,0.06332087516784668
QPSK,0.0314,0.2134,0.2395,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.07354736328125
QPSK,0.0314,0.3958,0.2395,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06309676170349121
BPSK,0.0314,0.0832,0.0311,32,0.0,0.0,1.0,90.0,0.0,9,10,0.06347012519836426
QPSK,0.0314,0.4218,0.0571,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.0631723403930664
BPSK,0.0314,0.1353,0.1092,32,0.0,0.0,1.0,70.0,0.15,7,10,0.06619715690612793
BPSK,0.0314,0.0628,0.025,48,0.35,0.005,0.9995,90.0,0.0025000000000000005,9,10,0.06082940101623535
QPSK,0.0314,0.0311,0.3697,32,0.15,0.0,1.0,80.0,0.005000000000000001,8,10,0.08085179328918457
QPSK,0.0314,0.0311,0.1092,32,0.0,0.0,1.0,90.0,0.0,9,10,0.06999683380126953
QPSK,0.0314,0.0628,0.08,64,0.35,0.005,1.0005,90.0,0.0025000000000000005,9,10,0.05426478385925293
BPSK,0.0314,0.0311,0.3697,32,0.15,0.0,1.0,0.0,0.025,0,10,0.07175135612487793
QPSK,0.0314,0.0628,0.025,48,0.35,0.005,0.9995,90.0,0.0025000000000000005,9,10,0.08327436447143555
QPSK,0.12,0.0628,0.045,32,0.02,0.03,1.0,20.0,0.020000000000000004,2,10,0.055212974548339844
QPSK,0.0314,0.0628,0.025,48,0.1,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.06753039360046387
BPSK,0.0314,0.0628,0.08,48,0.05,0.005,1.0005,0.0,0.025,0,10,0.07094025611877441
BPSK,0.0314,0.0628,0.08,64,0.35,0.005,1.0002,50.0,0.0125,5,10,0.0720829963684082
BPSK,0.0314,0.1353,0.2916,32,0.15,0.0,1.0,0.0,0.025,0,10,0.07013726234436035
QPSK,0.0314,0.0628,0.045,24,0.2,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.054465532302856445
